ROMAN URDU REVIEWS,TRANSLATED IN ENGLISH ,SENTIMENT
 kuch paisy apni zaban py bhi lagata to shayad aaj bol paata bayyyy bayyy bakra na banta    ,"If I had put some money on my tongue, perhaps I could have spoken today. But alas, I didn't, so I'm not a goat.",negative
 true tone b khrab hai ,Even the True Tone is bad.,negative
 qatil ek dilchaps baat yai hai ka duniya ko wicket ka darmiyan dorna seekhne wale yai dono khilari apni apne career ki akhri inning bharat main kheli or dono hi iss inning main run out qatil hi huwe ,"An interesting fact here is that both these players, who taught the world to run between wickets, played their last innings in India, and both were run out in this inning, murderer.",Positive
 mene bi kisee se pyaar kya tha par vo chod ke chala gaya 3saal ka pyaar minto me tod diya par muje khuda or mohbbat samajh ae muje bahut jaada achi lagte hai par mera pyaar hamaisha rahega ,"I also loved someone, but she left after breaking my heart. He broke three years of love in minutes, but I understood love and devotion. I like them very much, but my love will always remain. ",neutral
 bohot he achaaaa.. ,"""Very good.""",very positive
 allah ki shaan yai hai ky jab wo kise chez ka irada karta hai tau kahta hai ho ja tau wo hojati hai qatil ,"This is the glory of Allah that when He intends something, He says ""Be"" and it becomes, murderer.",very positive
 patients nay new dress phnay ,Patients wore new clothes.,Positive
 allah tala jannat main jaga dy ameen ,"""May Allah grant a place in heaven. Amen.""",very positive
 chup chup pagal larki ,"Quiet, crazy girl.",negative
 nhe aisa nh ho ga .... meerab ghar chor kar jahan rhy ge wahn se story start hoge ... or may be at the end koe chote meerab ya chota murtasim entry mar dy ,"No, that won't happen... Meerab will start the story from where she leaves the house... or maybe at the end, a younger Meerab or little Murtasim will make an entry and die.",neutral
 qatil rooti and paratha main farak hota qatil ata same hi hota   ,"The killer makes a difference between roti and paratha, but the flour is still the same.",positive
" bohat achi tee shirts hain yai , bohat hi paydar kapra hai or naram b hai, pehen ky bohat sakon milta hai .. size and fitting ky hawali se b mjhe koe masla nahi hai, sab ek dm perfect laga mjhe  or price ky lehaz se tw best hai yai bilkul ",These T-shirts are very nice. The fabric is very good and soft. Wearing it feels very comfortable. I have no problem with the size and fitting. Everything is perfect about it.,very positive
 bilkul mayoos ho chuky hain. hum ko rule out ni sahi kya gaya bad policies ki waja se. qatil ,"They have become completely disheartened. We were not ruled out properly due to bad policies, killer.",very negative
 fatima r bilal ke best jore ,"""Fatima and Bilal make the best couple.""",positive
 ary mubarak ho pdm walo.. pakistan na teen may na teera may ,"""Congratulations, PDM folks... Pakistan is neither in the third month nor in the thirteenth.""",Positive
 chor family chor hai ,"Thief family, they're all thieves.",very negative
 naak me laga hai kuch saaf kar lo ,"Something is stuck in my nose, need to clean it.",neutral
 hahaha tum mozakrat ky liye gay ty ky soch samajh ky liye ,"Hahaha, you went for negotiations, thinking it was for understanding.",neutral
" baat india pakistan ki nahi hai jo geet , music se pyaar karyga wo yahan hoga     <br><br>and lots of love from india         ","""It's not about India and Pakistan, whoever loves songs and music will be here. And lots of love from India.""",neutral
 acha ro ku raha han yai bta dy chal.... pakistan ky halat py ghamgeen ha  ,Why are you crying? Tell me. It's sad about the situation in Pakistan.,Positive
 yi lrki kedr mili ji ,"""Where did you find this girl?""",neutral
 acha hota paisy ky saath thori aqal bhi hoti in dikhway ky pujari logu ky passs... ,"""It would have been better if along with money, there was a bit of intelligence with these worshippers of appearances...""",negative
 haram ki olad sabit han dna test kra lo or tyran is ki sabik yahodan bivi ka ghar ma kyun rahiti han the world knows it ,"The offspring of the bastard, prove it by DNA test, and why is the tyrant staying at the former Jew's wife's house, the world knows it.",negative
 lakh di laaaanat teri shakal tah bandar day bachay hon v nashay which tan baitha aaiyn laaaaanati   ,"""A hundred thousand curses upon you, you look like a monkey's child even though you're born to humans. Sit there with your intoxicated body, cursed one.""",very negative
 qatil  to tou harami hai tujhay lagta khinch ky lay kar jana pry ga jannat main ,The murderer is indeed a scoundrel; do you think you'll have to drag him to heaven?,neutral
" mickey arthur is not god of cricket team what rubbish if aa player is playing good cricket he mast haawi given chance age doesn,t matter until he is performing. ","""Mickey Arthur is not the god of the cricket team, what rubbish! If a player is playing good cricket, he must have been given a chance, age doesn't matter until he's performing.""",Positive
 yai pakistanion qatil ky lye bhi he ,This is for Pakistanis too.,neutral
 maan jhum jhum        tan jhum jhum        ,"""My heart sways, body sways.""",neutral
 kon kon december me sun raha hai      , Who is enjoying the sun in December    ,neutral
 hahaha love qalandars ,"""Hahaha, love Qalandars!""",Positive
 allah ky naam py dy do baba ,"Baba, give them to Allah in the name of Allah.",very negative
 kuch nahi hoga arsal ko ,"""Nothing will happen to Arsal.""",Positive
" chose har pal jeo for all sara ejaz girdih jh dara, the first of which ","""Jeo for all, Sara Ejaz Girdih Jh Dara, the first of which.""",neutral
 lanat han is per ,"""Curse be upon it.""",very negative
 ya phir pahla or akhri match hi dekhna tha ,"""Or maybe they just wanted to watch the first and last match.""",Negative
 janab shebaz shareef sahab allah ki kasam jab myapko dhakta ho to mary dill ki gahrayoun sy bs manhoos ki awaz nikalte hai ,"Mr. Shehbaz Sharif, I swear by Allah, whenever I see you, the voice of the unlucky comes out from the depths of my heart.",Positive
 rana sahab ,Mr. Rana Sahab.,positive
 in england attaullah esakhelvi married with aa pakistani ethnography british lady ,"""In England, Attaullah Esakhelvi married a Pakistani ethnography British lady.""",Positive
 dil ko chulene wala    song qatil maha allah ,"""This song touches the heart, Masha Allah.""",very positive
 1976 main oval test main asif iqbal ke saath mil kar nawen (9th) wicket ki sharakat main 190 runs jour kar alami record banaya jo 30 saal qaiam raha ,"""In the Oval Test in 1976, Asif Iqbal and Naween (9th) created a world record by scoring 190 runs together, which lasted for 30 years.""",Positive
 pahalwano per b to bolo mam yai is des ky liye samman(medel) jeet ky laye hai      ,"""You should also praise the wrestlers, ma'am, they won this honor (medal) for the country.""",neutral
 johnny lever ke liye like mera ,"""Like for Johnny Lever from me.""",neutral
 allah hifazat farmaye ameen    ,"May Allah grant everyone the opportunity to visit Medina. Amen, murderer.",very positive
 fazool miraci quilty family anti ji ya kaam reh gaya tha ,"""Useless, Miraculous, guilty family, Auntie Ji, this job was left.""",very negative
 lanth b kaam hai in police walo par , length is of no use to policemen.,very negative
 na chero chachu ko... un ky b aaj kal yahi jazbaat hain kapko nahi mami la ky di jaye ,"""Don't tease Uncle... these are his feelings nowadays too, why not take Mom too, along with you?""",Negative
 love lala ,"Love, Lala.",very positive
 bhosdi wale yai dislike kanre wale kon hai ,Who are these bastards disliking?,very positive
 yaahi ghareeb log marte hai jou mulk ko bahir sy bajateim hy.. lkn wo ander ki log kyun ni karti jou mulk ko taba kar rahe hai ,"These poor people die, who are being made a spectacle of by the country from outside... but why don't those inside who are destroying the country do the same?",neutral
 ap kiapworking ni kar rahe han ,They're not working properly.,Negative
 main to apko chahta hun bas. mil jao to sare scheme mare pas hi hogi. ,"I just love you. If we meet, all the schemes will be with me.",neutral
 ya allah apnin hbeb ky sedky hemin maffrma ameen ,"Ya Allah, forgive us and our loved ones. Amen.",very positive
 tax payers money hai lutao jab tk awam he na boly tw hukamran ku ehsas krein. ,"""It's taxpayers' money, keep looting until the people themselves speak up and make the rulers realize.""",Positive
 mujhe koe chodega      ,Will someone leave me?,negative
 masha allahallah salamat rakhy apni hifazat me rakhain ,"""Mashallah, may Allah keep you safe, keep yourself protected.""",very positive
 utaar ky dekhaa dy bund ,"""Take it off and see, jerk.""",neutral
 iss serial ka koe mukabla nahi kar sakta hai superb acting both ,"No one can compete with this serial, superb acting both.",positive
 bilkul hat key....kamal ,"""Exactly, well said... Excellent.""",very positive
 Chaltay rahai ,"""Keep walking.""",neutral
 agarapsuch main us sy pyaar kartay hotai to uska sauda kabhi na kartay or na usko bechtay..lkinaptoh khud bikk gy paiso ky pichay ,"If you truly loved her, you would never bargain with her or sell her, but you yourself have been sold for money.",neutral
 gashti. qatil orteeen ,Prostitutes. Killer women.,very negative
 kamal ki poetry ,Amazing poetry.,positive
 py number peer..jhota insaan ,"He's a fake person, number one liar.",negative
" are mane 500 se calculator kya hai.....ap month ka 1000 kroge to 5,50,00 milga 1500 so kroge to 8,09,000 milga 2000 kroge 10,78,000 milgaapjese deposit kroge milga okk....value badana apki haath main hai.... ","""Hey, I've calculated from 500... If you deposit 1000 per month, you'll get 550,000. If you deposit 1500, you'll get 809,000. If you deposit 2000, you'll get 1,078,000. It's up to you to increase the value.""",neutral
 mom is real god.maa i love you . kabhi kehene ki himat nehin hua .maa qatil love you. ,"Mom is the real god. Mom, I love you. I've never had the courage to say it. Mom, I love you, murderer.",very positive
 roondi boothi      ,"""Useless.""",negative
 tujhay pankha hi ku najr aya ghar me qur'an bhi to rakha tha ,Why did you only notice the fan? There was also the Quran kept in the house.,neutral
 hahha yai to mardaan ka foreigner lag raha hai ,"""Haha, he looks like a foreigner from Mardan.""",negative
 kya song hai yrrrrrr ,"What a song, man!""",very positive
 yrrr pehli arsal or ab jeya b gaiii bohot tight drama sunooooooooooooo chandaaaaaaaaaaaaaaa ,"Dude, first Arsal and now Jeya, what an intense drama! Listen to the moon!",Positive
 dil lage sonng ,"""Dil Lage"" song.",very positive
 imran khan nay sirf cricket ky maidan apni suhlahiyat ka loha qatil manwa chuke the baal ky medan sy bahir bhi in ki shksiyat mutasir kon the kabhi inhe play boy sy pukara jata to kabhi bara sanjeeda samaji karkun ky naam sy ubhre qatil ,"Imran Khan had only proved his mettle in the field of cricket before he brought the murderers to justice. Even outside the field of cricket, his personality was influenced. Sometimes he was called a playboy, sometimes he emerged as a serious social worker.",Positive
 bolti rahu but ma messani ni ,"""Keep talking, but I won't listen.""",Positive
 bahut khoob ,Very good,very positive
 phaly to srif ek afiya the or wo b pakistan sy bahir lekin ab maloom nahi kitni afiya pakistan me haq or sach ki jang lrty howy band hen ,"""First, there was only one Afiya and she was abroad, but now it's not known how many Afiyas are fighting for truth and justice in Pakistan.""",neutral
 pehley raysat per hamala kio kya tha     ,Why was the first attack on the government?,neutral
 allah shareeki rahmat kry ,May Allah grant you a share in His mercy.,very positive
 turkish drama feriha ki copy banaya hai ,"""They've copied the Turkish drama 'Feriha'.""",neutral
 chudkad rand ,"""****ing bitch.""",neutral
" oy is aunty ko dhondo kon hai qatil is ko to pouchuon... kahti hai haar roz ""nayi larki ghar lay jata hai"" koe sharam hoti hai koe haya hoti hai qatil ","Hey, find this auntie, who is she? I should ask her... She says every day, 'a new girl is brought home'. There should be some shame, some modesty, murderer.",Negative
 tum log bc luttairy saath thay lotty zaleel log ,"You guys were all together in loot, disgraceful people.",very negative
 ‚†last me us ka petrol khatam ho gia ho ga. jis ke waja sy pakra gia. ,"In the end, his petrol must have run out, which is why he was caught. ",Negative
 is drama ke agae sab tatti lagte hain              ,Everyone is confused in front of this drama.,neutral
" allah pak inhay salamat rakhy, or inky lehjay main amal main hamaisha istiqamat, sachai, or kashish rkhay ameen ","May Allah keep them safe, and may their demeanor always be steadfast, truthful, and appealing. Amen.",very positive
 i love lahore kalendare ,"""I love Lahore Qalandars.""",very positive
 hahahahhahaha... chem to yaad hni ni... to designer hi na ban jaon... ,"""Hahaha, don't remember chemistry... so why not become a designer...""",Positive
 dekhlo yai mzaq nahi... qatil ,"Look, this is not a joke... murderer.",Negative
 iss ki chaaall dekho.. takkaburr se bharrri parri hay.. ,"""Look at his walk, so full of pride.""",positive
 insaan bhoka hai mare khayal main us ki zyada qadar karni chahiye na ky janwaron ki ,"Humans are hungry, in my opinion, they should be valued more than animals.",negative
 per ko apnay agaly 5 min ka ni pata yai future predict kry ga    ,"Even a dog doesn't know what will happen in the next 5 minutes, and this person is predicting the future.",negative
 har t.v show esa he hai ,"""Every TV show is like this.""",Negative
 waisay ma sporting lahore ki team ko kar raha tha lakin #admin sab kise py lanat ni karni cahiya.... qatil ,"""I was supporting the Sporting Lahore team, but #admin shouldn't curse anyone... murderer.""",Negative
 vote fir bi pti ,"""Vote again for PTI.""",Positive
 allah sabar dy ghar walu ko ,"""May Allah give patience to the families.""",very positive
 khan to bheek mang raha hai america sy ky mary haq main awaz uthao. yai kya hai ," Khan is begging for money from America because of my right, raise your voice. hey what's the matter",Positive
 lant ho asi videos banny walo par allah garaq kry asy logo ko ,"""Curse be upon those who make such videos, may Allah drown such people.""",very negative
 yai tumharay hi noon league ky gullu buttoun nay kya hai ,"""What have your Gullu Butts of the Noon League done?""",Negative
 altaf hussain ky qatil walid india main station master thay ,Altaf Hussain's murderer father was a station master in India.,very positive
 begaratoon ki goohri ,The den of beggars.,very negative
 jab un ke pahla shayari majmooa ÔøΩeee‚Ç¨ÔøΩeee tanha tanha ÔøΩeee‚Ç¨ÔøΩeee shaey hua to wo ba main the ,"""When their first poetry collection 'eee' was published, they were famous.""",Positive
 yogi ka naam layne me darr hai kya ,"""Are you afraid to take Yogi's name?""",neutral
 :d pata lag jao :p ,?? Find out the truth. ??,Negative
 asi main 5 number ky moves ky naam batha sakt hai ,I can name 5 number moves like this.,neutral
 last scane ka movie name kya hai ,What is the name of the movie of the last scene?,neutral
 bandar ullu saanp bicchu sab bardasht hai but rape promote ni kar rahe yahan at least ,"Monkeys, owls, snakes, scorpions, can endure everything but not promoting rape here, at least.",neutral
 right prof   ,"""Right profile.""",neutral
 begerat nosarbazz niazi ,Shameless lazy Niazi.,very negative
 great day for whole pakistan ,"""A great day for the whole of Pakistan.""",very positive
 guys teacher ky to expression check karo zarakarta ohhh.. r saath hans v raa..paglait insaan ,"Guys, check the expressions of the teacher, zarakarta... R laughs along with the R. What a crazy person.",Negative
 han abdullah mujhe bohat mohabbat the tumse ,"Yes Abdullah, I loved you a lot.",positive
 aisa lagta hai jaiseaplog bahot der bad kai saalon bad neend se jage ho ,"""It feels like you all woke up from sleep after many years.""",neutral
 agar wo dupta lia hua hia allah host ko b hedaiyt dyn wo b dupta sr py lylyn. ,"""If that duptay (apparently referring to a scarf) is cursed, then may Allah guide the host as well to wear the duptay on his head.""",positive
 mashallah may allah swt bless him with more to help the poor   ,"""Mashallah, may Allah bless him with more to help the poor.""",very positive
 koe bhi scripts chori ker ky apna naam daal dte hain writer or producer bhi sharam kere thori c ,They steal scripts and put their names on them. The writer and producer should also feel ashamed a bit.,negative
 pakistan main world champion hain kakkar saab nice       ,"Pakistan is a world champion, Mr. Kakkar, nice.",neutral
 bahut khoob ,"""Very good.""",very positive
 khan ky saath just rahinay wala qatil kutta we leader ban jata hai per wo yai bhol gaya kutta jab apnay malik sy bewafai karta hai to wo na ghar ka rehta hai na gaat ka. ya sab apni aoukat daikh lay gay jab awam dekhaye ge inhien ky sab ki izzat khan ka leya hai ,"""With Khan, anyone who just stays becomes a leader, but that forgotten dog forgets when he betrays his owner, he has neither a home nor a herd. All this will show them their status when the public sees, all this respect is for Khan.""",very negative
 she is wrong number and pro shareef family pithooo from decades... ignore har shits        ,"""She is a wrong number and from a pro-Sharif family, a fool from decades... ignore all her nonsense.""",negative
 romana or sikandar bhai ka to nikah dikha dete unko to unke mohabbat mil gay the i love sikandar qatil bhai ,"""Romana and Sikandar, brother, they should have shown their marriage. They had found their love, I love Sikandar, murderer brother.""",neutral
 yai song sunky bahot sakon milta hai       ,I feel so peaceful listening to this song.,very positive
 hello mam maine kabhi loan nahin liya hai mujhe pahle baar loan laina hai kya karna chahie ,"""Hello ma'am, I have never taken a loan before, I want to take a loan for the first time, what should I do?""",neutral
 woh tujhay zaroor milega chahe qatil ,"""He will definitely meet you, whether you like it or not.""",very positive
 allah pakistani qoum       ,"Allah, the Pakistani nation.",very positive
 wao yar mahfile lot li ,"""Wow, buddy, you've enjoyed the party.""",Positive
 woh to masha'allah se meri qabiliat hai.. qatil ,"That's because of Masha'Allah, my ability... murderer.",very positive
 lanat pmln ,Curse on PML-N.,very negative
 nice iqraar bhai hmsh khush rahyn ameen l ,"""Nice, Iqraar brother, always stay happy, amen.""",very positive
 khan ky ghulam qatil hain sare ,"""All of Khan's slaves are murderers.""",neutral
 wron information ,"""Wrong information.""",very positive
 jaisa daik raha hai waisa hai nahi.plz na kharidi. ,"It doesn't look like what it seems, please don't buy it.",Negative
" bary hi doglyaplog to, kal tak ek dosre ko galiya dete rahe or aaj mtlb awam ko andha or behra hi samajh lia hai. ","Big hypocrites, yesterday they kept abusing each other and today, it means they've considered the public blind and deaf.",very negative
 bhai bahut jada vala mast ,"Brother, very very cool.",positive
 may allah give health to wounded and higher ranks to those wo died ,"""May Allah grant health to the wounded and elevate the ranks of those who died.""",very positive
 kis bhai aunty ka screw dhila chal raha han elections ki tension ,"""Whose screw is loose? The tension of the elections.""",Negative
 pheley yar ab ni ,"Not now, buddy.",Negative
 chunache is jurm ki padash main mahenon jail main rahe ,"Therefore, he remained in jail for months awaiting trial for this crime.",Negative
 aisa ishq mare ghar main kya hota to lath mar maar kar bhoot utaar diya hota abhi tak any way good story. ,"If such love had been in our house, I would have beaten the ghost out with a stick by now. Anyway, good story.",neutral
 yai song sunky bahot sakon milta hai       ,Listening to this song gives a lot of peace.,very positive
 yai nafli ebadat han sukon sa parhain bs.refrence dhonta dhonta yai makhsoos gahri guzar gai to wapas nahi ana wali.filhal esa ada krain refrence b mil jaye ga.shurkriya. ,"""Iqra Aziz & Feroze Khan are the best partners.""",Positive
 bc larki asi hna koe b pagal ho jayega iske pche ,This girl is so crazy that anyone will go mad behind her.,neutral
 beshk allah bohot raham krny wala hai qatil ,"Indeed, Allah is very merciful, even to murderers.",very positive
 tym nikal ky milo..logo ko judge karna hˇòÖ ,"Take out some time and meet... judging people, huh.",Negative
 kami nahi zaydati hai samajh raha hou balance out hojata hai        ,"""It's not a shortage but an excess, I understand, it balances out.""",negative
 qatil lulle dafa ho idhar se warana teri jese tatto ko thookta bhi nahi. ,"Killer, get lost from here, otherwise I won't even spit on insects like you.",negative
 jab tak sood or haram khaty rahay go tab tak kise bi wazify ky karnay sy kuc nahi mily ga ,"As long as people keep indulging in interest and haram, they won't achieve anything even by doing any rituals.",Negative
 qatil hhhhh myjhee v sathh lejaoo.... asee iphone baran yee kree ya asee akhwaa dekhwaaa         ,qatil hhhhh myjhee v sathh lejaoo.... asee iphone baran yee kree ya asee akhwaa dekhwaaa - Murderer hahaha take me with you... should I buy an iPhone or should I watch a dream?,very negative
 ap ko jo massage daina hai oh sidha likho pahile ,"""Write the message you want to send directly first.""",neutral
 lsnt asy logo pÖr ,Curse on such people...,very negative
 madam dhanyvad jankari ke liye yadi koe mafi ki jankari ho toapbataiye kyunki kyunki ek finance wale ny jyada byaaj main paisay deay or hum uska paisa daina chahati hain lekin vah bolata hai ki puri kist deni padegi 3 saal ka loan hai to 3 saal main hi bharna padegaapbich main nahin jama kar sakti aapka ahsaan hogaapmeri madad karo to ,"Thank you, madam, for the information. If there is any information about forgiveness, please let me know because a finance guy has given more money in interest and we want to pay him back, but he says the full installment has to be paid. It's a 3-year loan, so it has to be paid in 3 years, I can't pay in between. Your favor will be appreciated, help me out.",neutral
 admition li han urdu to aa nahi rahe han usko wha urdu point walo ,"""Admission has been taken, but Urdu is not coming, go to Urdu Point.""",neutral
 yai orangline train ky guard bohat batameezi hain beharhall jo duniya sy chala gaya usy kya kahna allah us kiagfirat farmaye ,"""The guards of the Orange Line train are very rude. Anyway, what can we say about someone who has left this world, may Allah forgive him.""",very negative
 main saath nahi chorungi ,I won't leave you alone.,positive
 baap level ke song ,"""Wow, what a level of a song.""",neutral
 shareef medical city ma b foodpanda in karayain ,Foodpanda should also operate in the Sharif Medical City.,very positive
 dil ki bemarion me sab se bari bemari dil azari hai ,The biggest disease in matters of the heart is heartache.,Negative
 jahan squash ke almi number ek or do khelaryon se muqable ache or kati ke howae the ,Where international squash players were better and tougher competitors than two players.,Positive
 ya sab biryani ka kamil han biryani                     ,"""They're all complete biryani.""",neutral
 mainapko btaney ke liye bound nahi honnon of your business jo bhi hoapko kya hai laikin allah ka shukar haiapnahi hoon ,"I'm not bound to tell you, it's none of your business, whatever it is, thank God I'm not that.",Negative
 is se kalma suno sab shayad wo b nahi aain gay fem ky liay ause karti han ,"Perhaps if you recite the Kalma, they might not even come for the funeral.",negative
 aa bb bhi na samjhay tou raho asi haal ma ,"If you don't understand, then stay like this.",negative
 sir yai rajpal yadav don wale movie ky naam kya hai please repl ,"Sir, what's the name of that Rajpal Yadav's movie ""Don""? Please reply.",neutral
 dil ko chuu jata he ,It touches the heart.,very positive
 dil ko cho qatil li ny wala song he ,"""This song pierces the heart, murderer.""",very positive
 abay saloo ya hota han sacha piyer ,"Hey, idiots, this is what a true father is like.",Positive
 hahhaha qatil mamoooapka b to nahi shadi ka plan nahi han ya suna bara havy batain han ,"Hahaha, killer Mamoo, do you also not have any plans for marriage, or have I heard some heavy talks?",Negative
 zaheni ghulam ,Mental slave.,very negative
 bhai suhag raat ki updates b sth sth share krna..asi wely bety hai ,"Brother, also share updates along with the first night... you're a funny son.",very negative
 ab koe discount nh daty ,"""No discounts for him now.""",positive
 since group main kamyabi ka tanasub 61 or general group main 59 raha qatil ,"Since the success ratio in the group was 61 and in the general group, it was 59, murderer.",Negative
 lanat pdm py ,"""Curse on the PDM (Pakistan Democratic Movement).""",very negative
 or proud masha allah ,"Mashallah, and proud.",positive
 yai baba ji begum r media 7 hi rkhyn han pn hur ,"These are Baba Ji's and Begum's seventh in the media, not less.",neutral
 golgappy wala business ni chala toapny fruits ka business start kar leya ,"""If the golgappa business doesn't work, then start your fruit business.""",neutral
 mera naam nawaz qatil or shahbaz qatil hai        ,"""My name is Nawaz, murderer, and Shahbaz, murderer.""",neutral
 kitani bhi baar sulu song par dil nahi bharta ,"No matter how many times you listen to the song ""Sulu,"" you never get tired.",neutral
 bakwas kapryy pahny han larkii nyy bohtt family ma beth ky sunyy wala song han magar video ni chala saktyy ,"The clothes are nonsense, the girl has worn them sitting in a very family manner, it's a song to listen to but the video can't be played.",very negative
 murad saeed or ali muhammad ,"""Murad Saeed and Ali Muhammad.""",neutral
 koe takar ni hai rahat fatih ali sahab i aam from india an i still watching this webseries ,"There is no competition, Rahat Fateh Ali Sahab. I am from India and I am still watching this web series.",neutral
 ajeeb he lag rahay hain kaan waisay cute hai    ," He looks strange, why is he so cute  ",negative
 masa allah bhot he payara serial hai ,"Masha Allah, it's a very lovely serial.",very positive
 pti haar gie to saaaazish       ,"""If PTI loses, it's a conspiracy.""",negative
 had hai   ,"""This is the limit.""",neutral
 agar sawal kya jae ke pakistan ke kise fankar ka naam batae qatil jisay radio qatil television or film ke hawali se alami shohrat hasil hai to jawab main hamari pas sirf ek naam hai or wo hai zia mohyeddin ,"If asked about the name of any artist in Pakistan who has achieved international fame through radio, television, or film, we have only one name, and that is Zia Mohyeddin.",Positive
 kamal hai yai song jtni baar bhi suna hai anokha hi skon mila hai ,"This song is amazing, whenever I listen to it, it feels different every time.",neutral
 munh ko sambhal ky bat karo ,"""Speak with caution.""",very negative
 1995 main un ke adakar johnny li miller ke saath talluqaat qaiam hue jis ke ek baras bad unhon ny shadi kar li jo 1999 main apni anjam ko pohanche ,"""In 1995, he established a relationship with the actor Johnny Lee Miller, whom he married a year later in 1999, reaching its conclusion.""",Negative
 chor ky bachy money makers ,"Sons of thieves, money makers.",very negative
Mujhe to yai waisay e zeher lagta hai,It looks like this to me,Negative
" hindu or muslim naam, or adat bhi un jahilo jaisi. ","Hindu or Muslim names, and habits like those ignorant people.",neutral
 eid mubarak...plz website theak kerwadain... or dua bi kerden...web site bilkul theak nahi chal rahi...aj ramazan ka ek bhi dars nahi khul raha na eng main na urdu...kal sirf eng walay link pe dars thay aaj wo bhi ghayab. ,"""Eid Mubarak! Please fix the website... and also pray... the website is not working at all... no Ramadan lecture is opening today, neither in English nor in Urdu... yesterday there were lectures only on the English link, today they're also gone.""",very positive
 abu hi bana lia   ,"""He just made himself a father.""",neutral
 begairaton ka tola pti ,"The brigade of shameless people, PTI.",very negative
 khuda esy darindo ko gurk kry....ameen ," God, save this beast....ameen",negative
 gumshoda or agwa shoda ashkhas ki bazyabi key leye beuro or insedad dahshat gerdi key leya ek comition yai trust ek gair sarkari gair seasi or gair munfiet andoz insaani haqooq ki die tanzeem hai or is saki rejgtration amrica main bhi ho chuki hai in ki mosalsal or bea louse koshishon sey ab tek lakhon sey zaida aeyse qedi riha ho chukey hain jog air qanone tour par pakistan or barony mumalik main quaid rahey in main sey baz jailon main hi paida huay thay or chalees chalees saal bea kasoor or bea gunah sakhat moshaqqat ki zindagi mahaz laquniat ki waja sey guzar rahey thay niaz bees hazar sey zyada gumshuda or agwa shuda bachchon or bachion ko baziab karaya ja chukka hai halanke iss hawaly sey unhay khasi tankeed ka nishana banna para. ,"""A commission, trust, a non-governmental, non-political, and non-profit human rights organization has been established for the release of missing and abducted persons and for counter-terrorism efforts. It has been registered in America as well, and through its continuous and tireless efforts, thousands of such individuals have been released so far. Some of them were born in jails and had been living a harsh life for forty years due to mere suspicion and being completely innocent. More than twenty thousand missing and abducted children have been rescued, although they had to face considerable criticism in this regard.""",Positive
 chor mr420 ,Thief Mr. 420.,very negative
 to mare e khyaal ka maan rakh... chal shabash qatil ,"""So keep my advice in mind... Well done, murderer.""",Positive
 song is very nice but video is no good ,"""The song is very nice but the video is not good.""",very positive
 daddu in red ,sexy red milk,Negative
 ek toapmera naam tag karti ho sam main parh kar mare jate han hyeeeeee ,"First, you tag my name and then scare me after reading, huh!",Negative
 sabsy best sayari hai rahat saab thumhari ,"""The best poetry is yours, Rahat Saab.""",positive
 2 afraad janbahaq 3 zakhmi janbahaq afraad or zakhmio ko hosp muntaqil kerdiya gaya ,"""Two people were killed, three injured, and the injured were transferred to the hospital.""",Negative
" lol punjab ka sab se bara daaku. well, he is right. he and sheikh rasheed along with chaudhary shujaat are the biggest bootlickers ever produced in the history of punjabistan. he hans been the stooge of establishment ever since the time qatil of zia, iji, then pml n, then musharraf and pml ku and now pti. despite the fact he supports establishment because he is punjabi and thay are punjabi. also, he can do anything to stay in power. at the end of the day, he will eventually return to his brothers party pml ku ","Lol, the biggest bandit of Punjab. Well, he is right. He and Sheikh Rasheed, along with Chaudhary Shujaat, are the biggest bootlickers ever produced in the history of Punjabistan. He has been a stooge of the establishment since Zia's time, then IJI, then PML-N, then Musharraf and PML-Q, and now PTI. Despite supporting the establishment because they are Punjabi, they can do anything to stay in power. Eventually, he will return to his brother's party, PML-Q.",neutral
 badmash jamat   ,Mischievous group.,Negative
 allah pak in ky bachon ko hidayt dy ameen ,"""May Allah guide these children. Amen.""",very positive
 qatil lahoriiii burger soja beta apka time hogya. sone se pehli abu se puchlena. ,"Killer Lahori burger, go to sleep, son. Ask dad before sleeping.",Negative
 army... ky bad nevi...    ,Army... and then the navy...,neutral
 jis main wo khasay kamiyab rahe , the main ones which were particularly successful,Positive
 pas on the message ˇíúˇòÇ ,Pass on the message üíúüòÇ.,Positive
 sab sy bari criminal hamri napak army hai mary bhai unko pakro  lanti americans ky kutto ko ,"The biggest criminal is our impure army, my brother, catch them, you cursed Americans' dogs!",very negative
 allah mujhy b neyk ulad ata kry please hakeem sahab dua kar daey. ,"Allah, bless me with righteous offspring, please pray, Hakeem Sahab.",very positive
 bohot acha episode tha .. yai larki lava me jal rahe the .. , It was such an episode.. that the lark was trapped in the lava..,very negative
 kon saaphai , which friend ,neutral
 mam mera whatsaap black ho gaya hai ,"Ma'am, my WhatsApp has turned black.",neutral
 jado gass hi nahi honi ta geazr lol te laina ,"""If there's no gas, then there won't be any problems, lol, take it.""",negative
 qatil achi karkerdagi ki bina par unhen sirf 6 maah bad hi qasim platoon ka commander muqarar kar diya gaya or agle hi saal bator boy company commander taraqi dy di gai ,"Despite good performance, he was appointed as the commander of Qasim Platoon only 6 months later, and the next year he was promoted to the position of Boy Company Commander.",very positive
